NGAS638 Bulgaricus CO	1
Bulgaricus STHCIRM65 CF	7
STHCIRM65 Bulgaricus CF	1
Bulgaricus HB8 CF	7
HB8 Bulgaricus CF	1
Bulgaricus DSM2626 CF	7
DSM2626 Bulgaricus CF	1
Bulgaricus DSM20745 CF	7
DSM20745 Bulgaricus CF	1
Bulgaricus CWAy CF	7
CWAy Bulgaricus CF	1
Bulgaricus DSM574 CF	0
DSM574 Bulgaricus CF	5
Bulgaricus DSM103284 CF	7
DSM103284 Bulgaricus CF	1
Bulgaricus SB CF	7
SB Bulgaricus CF	1
Bulgaricus F0399 CF	7
F0399 Bulgaricus CF	1
Bulgaricus S52 CF	2
S52 Bulgaricus CF	4
Bulgaricus HL096PA1 CF	7
HL096PA1 Bulgaricus CF	1
Bulgaricus MRHRU235G CF	7
MRHRU235G Bulgaricus CF	1
Bulgaricus MCC318 CO	8
MCC318 Bulgaricus CO	6
Bulgaricus DSM684 CF	0
DSM684 Bulgaricus CF	5
OK5 PFRJS14 CO	3
PFRJS14 OK5 CO	3
OK5 ORS2060 CO	9
ORS2060 OK5 CO	9
OK5 OnP31 CO	9
OnP31 OK5 CO	9
OK5 SB CO	3
SB OK5 CO	3
OK5 PAO1 CO	2
PAO1 OK5 CO	4
OK5 SI CO	0
SI OK5 CO	5
OK5 RS-1 CO	0
RS-1 OK5 CO	5
OK5 Aspo-2 CO	0
Aspo-2 OK5 CO	5
OK5 SRW-OG1 CO	9
SRW-OG1 OK5 CO	9
ATCC12472 Nb231 CF	0
Nb231 ATCC12472 CF	5
ATCC12472 Nb255 CF	0
Nb255 ATCC12472 CF	5
ATCC12472 X14 CF	0
X14 ATCC12472 CF	5
DSM40736 lac_ATCC CF	1
lac_ATCC DSM40736 CF	7
DSM40736 G2 CF	1
G2 DSM40736 CF	7
DSM40736 plant_ATCC CF	1
plant_ATCC DSM40736 CF	7
DSM40736 T6-13N CF	3
T6-13N DSM40736 CF	3
DSM40736 NCTC11397 CF	3
NCTC11397 DSM40736 CF	3
DSM40736 M38 CF	1
M38 DSM40736 CF	7
DSM40736 R1dM1 CF	0
R1dM1 DSM40736 CF	5
DSM40736 PAO1 CF	2
PAO1 DSM40736 CF	4
DSM40736 NBRC3202 CF	1
NBRC3202 DSM40736 CF	7
AU1233 S52 CF	2
S52 AU1233 CF	4
AU1233 ICMP19499 CF	2
ICMP19499 AU1233 CF	4
AU1233 PS1 CF	2
PS1 AU1233 CF	4
AU1233 F2a CF	2
F2a AU1233 CF	4
AU1233 NBRC14164 CF	2
NBRC14164 AU1233 CF	4
AU1233 PAO1 CF	2
PAO1 AU1233 CF	4
AU1233 L48 CF	2
L48 AU1233 CF	4
AU1233 BIMB268 CF	9
BIMB268 AU1233 CF	9
BC16 Bulgaricus CF	1
Bulgaricus BC16 CF	7
BC16 PAO1 CF	2
PAO1 BC16 CF	4
BC16 M38 CF	1
M38 BC16 CF	7
BC16 F2a CF	2
F2a BC16 CF	4
BC16 BJ001 CF	9
BJ001 BC16 CF	9
BC16 NBRC14164 CF	2
NBRC14164 BC16 CF	4
BC16 ICMP19499 CF	2
ICMP19499 BC16 CF	4
BC16 PS1 CF	2
PS1 BC16 CF	4
BC16 PFRJS14 CF	9
PFRJS14 BC16 CF	9
BC16 lac_ATCC CF	1
lac_ATCC BC16 CF	7
BC16 G2 CF	1
G2 BC16 CF	7
BC16 UMB0004 CF	1
UMB0004 BC16 CF	7
BC16 BIMB268 CF	9
BIMB268 BC16 CF	9
BC16 RS-1 CF	0
RS-1 BC16 CF	5
BC16 NBRC3202 CF	1
NBRC3202 BC16 CF	7
BC16 Zhang CF	1
Zhang BC16 CF	7
BC16 plant_ATCC CF	1
plant_ATCC BC16 CF	7
BC16 DSM2638 CF	0
DSM2638 BC16 CF	5
BC16 L48 CF	2
L48 BC16 CF	4
BC16 MEAM1 CF	9
MEAM1 BC16 CF	9
BC16 HL096PA1 CF	9
HL096PA1 BC16 CF	9
BC16 S52 CF	2
S52 BC16 CF	4
BC16 ORS2060 CF	9
ORS2060 BC16 CF	9
FDAARGOS755 PAO1 CF	2
PAO1 FDAARGOS755 CF	4
NCTC8325 Sp7 CF	9
Sp7 NCTC8325 CF	9
DSM4028 JCM30893 CF	5
JCM30893 DSM4028 CF	0
G2 PAO1 CF	2
PAO1 G2 CF	4
G2 SI CF	0
SI G2 CF	5
G2 HJW CF	7
HJW G2 CF	1
G2 NBRC13350 CF	7
NBRC13350 G2 CF	1
G2 HB8 CF	7
HB8 G2 CF	1
G2 J10fl CF	7
J10fl G2 CF	1
G2 STHCIRM65 CF	7
STHCIRM65 G2 CF	1
G2 SB CF	7
SB G2 CF	1
G2 HRM2 CF	0
HRM2 G2 CF	5
G2 M162 CF	7
M162 G2 CF	1
G2 MPOB CF	0
MPOB G2 CF	5
G2 HI2424 CF	7
HI2424 G2 CF	1
G2 WSM1271 CF	7
WSM1271 G2 CF	1
G2 TK24-YQS040 CF	7
TK24-YQS040 G2 CF	1
G2 PFRJS14 CF	7
PFRJS14 G2 CF	1
G2 MRHRU235G CF	7
MRHRU235G G2 CF	1
G2 WSM2075 CF	7
WSM2075 G2 CF	1
G2 H37Rv CF	7
H37Rv G2 CF	1
G2 HL096PA1 CF	7
HL096PA1 G2 CF	1
G2 S52 CF	2
S52 G2 CF	4
Hu17 PAO1 CF	2
PAO1 Hu17 CF	4
RS01 sp76-1 CF	2
sp76-1 RS01 CF	4
FDAARGOS679 M38 CF	1
M38 FDAARGOS679 CF	7
FDAARGOS679 NCTC11397 CF	9
NCTC11397 FDAARGOS679 CF	9
FDAARGOS679 R1dM1 CF	0
R1dM1 FDAARGOS679 CF	5
FDAARGOS679 NGAS638 CO	9
NGAS638 FDAARGOS679 CO	7
FDAARGOS679 NBRC3202 CF	1
NBRC3202 FDAARGOS679 CF	7
FDAARGOS679 PAO1 CF	2
PAO1 FDAARGOS679 CF	4
FDAARGOS679 lac_ATCC CF	1
lac_ATCC FDAARGOS679 CF	7
FDAARGOS679 G2 CF	1
G2 FDAARGOS679 CF	7
FDAARGOS679 plant_ATCC CF	1
plant_ATCC FDAARGOS679 CF	7
FDAARGOS679 T6-13N CF	9
T6-13N FDAARGOS679 CF	9
ATCC10987 TSA2s CF	4
TSA2s ATCC10987 CF	2
FDAARGOS309 Nb231 CF	0
Nb231 FDAARGOS309 CF	5
FDAARGOS309 Nb255 CF	0
Nb255 FDAARGOS309 CF	5
FDAARGOS309 X14 CF	0
X14 FDAARGOS309 CF	5
CICC22518 DJ CF	2
DJ CICC22518 CF	4
CICC22518 LV515 CF	1
LV515 CICC22518 CF	7
CICC22518 plant_ATCC CF	1
plant_ATCC CICC22518 CF	7
CICC22518 L1-82 CO	1
L1-82 CICC22518 CO	7
CICC22518 DSM15434 CF	9
DSM15434 CICC22518 CF	3
CICC22518 M38 CF	1
M38 CICC22518 CF	7
CICC22518 OK5 CO	3
OK5 CICC22518 CO	3
CICC22518 NBRC3202 CF	1
NBRC3202 CICC22518 CF	7
CICC22518 lac_ATCC CF	1
lac_ATCC CICC22518 CF	7
CICC22518 G2 CF	1
G2 CICC22518 CF	7
CICC22518 NCTC11831 CO	3
NCTC11831 CICC22518 CO	3
CICC22518 DSM16041 CF	1
DSM16041 CICC22518 CF	7
CICC22518 DSMA194 CO	8
DSMA194 CICC22518 CO	6
JF-5 UPMC901 CF	3
UPMC901 JF-5 CF	3
JF-5 MCC318 CO	8
MCC318 JF-5 CO	6
L48 Nc4 CF	0
Nc4 L48 CF	5
L48 Nb231 CF	0
Nb231 L48 CF	5
L48 Nb255 CF	0
Nb255 L48 CF	5
L48 M162 CF	4
M162 L48 CF	2
L48 X14 CF	0
X14 L48 CF	5
L48 SM52 CF	4
SM52 L48 CF	2
L48 MC1 CF	4
MC1 L48 CF	2
L48 STM815 CF	4
STM815 L48 CF	2
L48 ORS571 CF	4
ORS571 L48 CF	2
EnGen0336 SRCM102733 CF	1
SRCM102733 EnGen0336 CF	1
ATCC33617 ICMP19499 CF	2
ICMP19499 ATCC33617 CF	4
ATCC33617 PAO1 CF	2
PAO1 ATCC33617 CF	4
ATCC33617 Bulgaricus CF	1
Bulgaricus ATCC33617 CF	7
ATCC33617 NBRC14164 CF	2
NBRC14164 ATCC33617 CF	4
ATCC33617 F2a CF	2
F2a ATCC33617 CF	4
ATCC33617 BJ001 CF	9
BJ001 ATCC33617 CF	9
ATCC33617 M38 CF	1
M38 ATCC33617 CF	7
ATCC33617 PFRJS14 CF	9
PFRJS14 ATCC33617 CF	9
ATCC33617 G2 CF	1
G2 ATCC33617 CF	7
ATCC33617 lac_ATCC CF	1
lac_ATCC ATCC33617 CF	7
ATCC33617 PS1 CF	2
PS1 ATCC33617 CF	4
ATCC33617 plant_ATCC CF	1
plant_ATCC ATCC33617 CF	7
ATCC33617 NBRC3202 CF	1
NBRC3202 ATCC33617 CF	7
ATCC33617 RS-1 CF	0
RS-1 ATCC33617 CF	5
ATCC33617 BIMB268 CF	9
BIMB268 ATCC33617 CF	9
ATCC33617 UMB0004 CF	1
UMB0004 ATCC33617 CF	7
ATCC33617 Zhang CF	1
Zhang ATCC33617 CF	7
ATCC33617 ORS2060 CF	9
ORS2060 ATCC33617 CF	9
ATCC33617 S52 CF	2
S52 ATCC33617 CF	4
ATCC33617 HL096PA1 CF	9
HL096PA1 ATCC33617 CF	9
ATCC33617 L48 CF	2
L48 ATCC33617 CF	4
ATCC33617 DSM2638 CF	0
DSM2638 ATCC33617 CF	5
ATCC33617 MEAM1 CF	9
MEAM1 ATCC33617 CF	9
SZ X14 CF	0
X14 SZ CF	5
ATCC12561 M38 CF	1
M38 ATCC12561 CF	7
ATCC12561 CC55 CF	3
CC55 ATCC12561 CF	3
ATCC12561 Bulgaricus CF	1
Bulgaricus ATCC12561 CF	7
ATCC12561 DSM4252 CF	3
DSM4252 ATCC12561 CF	3
ATCC12561 NBRC3202 CF	1
NBRC3202 ATCC12561 CF	7
ATCC12561 plant_ATCC CF	1
plant_ATCC ATCC12561 CF	7
ATCC12561 DSM20109 CF	3
DSM20109 ATCC12561 CF	3
ATCC12561 DSM15434 CF	3
DSM15434 ATCC12561 CF	3
ATCC12561 DSM6578 CF	3
DSM6578 ATCC12561 CF	3
ATCC12561 DSM43183 CF	3
DSM43183 ATCC12561 CF	3
ATCC12561 ATCC19208 CF	3
ATCC19208 ATCC12561 CF	3
ATCC12561 UPMC901 CF	3
UPMC901 ATCC12561 CF	3
ATCC12561 lac_ATCC CF	1
lac_ATCC ATCC12561 CF	7
ATCC12561 DSM43827 CF	3
DSM43827 ATCC12561 CF	3
ATCC12561 DSM12680 CF	3
DSM12680 ATCC12561 CF	3
ATCC12561 G2 CF	1
G2 ATCC12561 CF	7
ATCC12561 DSM684 CF	0
DSM684 ATCC12561 CF	5
KT MPOB CF	0
MPOB KT CF	5
KT SB CF	3
SB KT CF	3
NBRC14164 STM815 CF	4
STM815 NBRC14164 CF	2
NBRC14164 NIPH2130 CF	4
NIPH2130 NBRC14164 CF	2
ATCC33277 ATCC35405 CF	3
ATCC35405 ATCC33277 CF	3
G1 SRCM102733 CF	7
SRCM102733 G1 CF	1
LM4 PAO1 CF	2
PAO1 LM4 CF	4
J10fl lac_ATCC CF	1
lac_ATCC J10fl CF	7
J10fl plant_ATCC CF	1
plant_ATCC J10fl CF	7
J10fl PFRJS14 CF	3
PFRJS14 J10fl CF	3
J10fl SZ CF	1
SZ J10fl CF	7
J10fl PCA CF	1
PCA J10fl CF	7
J10fl MPOB CF	0
MPOB J10fl CF	5
J10fl M38 CF	1
M38 J10fl CF	7
J10fl Rf4 CF	1
Rf4 J10fl CF	7
J10fl NBRC3202 CF	1
NBRC3202 J10fl CF	7
IT45 ORS571 CF	4
ORS571 IT45 CF	2
IT45 TSA2s CF	4
TSA2s IT45 CF	2
IT45 J10fl CF	4
J10fl IT45 CF	2
IT45 X14 CF	0
X14 IT45 CF	5
IT45 Nb255 CF	0
Nb255 IT45 CF	5
IT45 Nb231 CF	0
Nb231 IT45 CF	5
IT45 RS-1 CF	0
RS-1 IT45 CF	5
IT45 SI CF	0
SI IT45 CF	5
IT45 L45 CF	4
L45 IT45 CF	2
IT45 SM52 CF	4
SM52 IT45 CF	2
IT45 M162 CF	4
M162 IT45 CF	2
IT45 JJ CF	0
JJ IT45 CF	5
IT45 SB CF	4
SB IT45 CF	2
DSM5692 JCM30893 CF	5
JCM30893 DSM5692 CF	0
M162 M38 CF	1
M38 M162 CF	7
M162 PAO1 CF	2
PAO1 M162 CF	4
M162 NBRC3202 CF	1
NBRC3202 M162 CF	7
M162 SI CF	0
SI M162 CF	5
M162 Nc4 CF	0
Nc4 M162 CF	5
M162 S52 CF	2
S52 M162 CF	4
M162 plant_ATCC CF	1
plant_ATCC M162 CF	7
HI2424 NBRC14164 CF	2
NBRC14164 HI2424 CF	4
HI2424 Zhang CF	1
Zhang HI2424 CF	7
HI2424 M38 CF	1
M38 HI2424 CF	7
HI2424 PAO1 CF	2
PAO1 HI2424 CF	4
HI2424 UMB0004 CF	1
UMB0004 HI2424 CF	7
HI2424 RS-1 CF	0
RS-1 HI2424 CF	5
HI2424 NBRC3202 CF	1
NBRC3202 HI2424 CF	7
HI2424 plant_ATCC CF	1
plant_ATCC HI2424 CF	7
HI2424 ICMP19499 CF	2
ICMP19499 HI2424 CF	4
HI2424 MEAM1 CF	9
MEAM1 HI2424 CF	9
HI2424 PS1 CF	2
PS1 HI2424 CF	4
HI2424 L48 CF	2
L48 HI2424 CF	4
HI2424 S52 CF	2
S52 HI2424 CF	4
HI2424 ORS2060 CF	9
ORS2060 HI2424 CF	9
HI2424 HL096PA1 CF	9
HL096PA1 HI2424 CF	9
HI2424 lac_ATCC CF	1
lac_ATCC HI2424 CF	7
HI2424 PFRJS14 CF	9
PFRJS14 HI2424 CF	9
ATCC33394 Nb255 CF	0
Nb255 ATCC33394 CF	5
ATCC33394 X14 CF	0
X14 ATCC33394 CF	5
ATCC33394 Nb231 CF	0
Nb231 ATCC33394 CF	5
Hxd3 JCM30893 CF	5
JCM30893 Hxd3 CF	0
DSM43827 ICMP19499 CF	2
ICMP19499 DSM43827 CF	4
DSM43827 K288 CF	2
K288 DSM43827 CF	4
DSM43827 S52 CF	2
S52 DSM43827 CF	4
DSM43827 F0399 CF	3
F0399 DSM43827 CF	3
DSM43827 L48 CF	2
L48 DSM43827 CF	4
DSM43827 PAO1 CF	2
PAO1 DSM43827 CF	4
DSM43827 JF-5 CF	3
JF-5 DSM43827 CF	3
DSM43827 PS1 CF	2
PS1 DSM43827 CF	4
DSM43827 F2a CF	2
F2a DSM43827 CF	4
DSM43827 NBRC14164 CF	2
NBRC14164 DSM43827 CF	4
ATCC14990 Sp7 CF	9
Sp7 ATCC14990 CF	9
ATCC700779 PAO1 CF	2
PAO1 ATCC700779 CF	4
LMG16247 PFRJS14 CF	3
PFRJS14 LMG16247 CF	3
LMG16247 NGAS638 CO	3
NGAS638 LMG16247 CO	3
LMG16247 M162 CF	9
M162 LMG16247 CF	9
NCH105 PAO1 CF	2
PAO1 NCH105 CF	4
451SPAR PFRJS14 CO	3
PFRJS14 451SPAR CO	3
451SPAR NCTC11831 CF	3
NCTC11831 451SPAR CF	3
451SPAR DSM16041 CO	1
DSM16041 451SPAR CO	7
451SPAR LMG16247 CO	3
LMG16247 451SPAR CO	3
451SPAR MRHRU235G CO	3
MRHRU235G 451SPAR CO	3
451SPAR T6-13N CO	3
T6-13N 451SPAR CO	3
451SPAR H37Rv CO	7
H37Rv 451SPAR CO	9
451SPAR OnP31 CO	7
OnP31 451SPAR CO	9
451SPAR DSM16841 CF	8
DSM16841 451SPAR CF	6
451SPAR DSMA194 CF	8
DSMA194 451SPAR CF	6
451SPAR HJW CO	7
HJW 451SPAR CO	9
451SPAR AF28-15 CF	8
AF28-15 451SPAR CF	6
451SPAR L1-82 CF	3
L1-82 451SPAR CF	3
451SPAR LV515 CO	3
LV515 451SPAR CO	3
451SPAR OK5 CF	3
OK5 451SPAR CF	3
451SPAR DSM15272 CO	3
DSM15272 451SPAR CO	3
451SPAR PAO1 CF	2
PAO1 451SPAR CF	4
451SPAR NBRC3202 CO	1
NBRC3202 451SPAR CO	7
451SPAR NCTC11397 CO	3
NCTC11397 451SPAR CO	3
451SPAR Zhang CO	8
Zhang 451SPAR CO	6
451SPAR FDAARGOS679 CO	7
FDAARGOS679 451SPAR CO	9
451SPAR SRW-OG1 CO	7
SRW-OG1 451SPAR CO	9
ACN14a Nc4 CF	0
Nc4 ACN14a CF	5
ACN14a C91 CF	3
C91 ACN14a CF	3
ACN14a PAO1 CF	2
PAO1 ACN14a CF	4
ACN14a ATCC25196 CF	3
ATCC25196 ACN14a CF	3
NGAS638 UMB0004 CO	1
UMB0004 NGAS638 CO	7
NGAS638 PAO1 CF	2
PAO1 NGAS638 CF	4
NGAS638 R1dM1 CO	0
R1dM1 NGAS638 CO	5
NGAS638 SRW-OG1 CO	7
SRW-OG1 NGAS638 CO	9
NGAS638 SM52 CO	7
SM52 NGAS638 CO	9
NGAS638 T6-13N CO	3
T6-13N NGAS638 CO	3
NGAS638 ORS2060 CO	7
ORS2060 NGAS638 CO	9
NGAS638 OnP31 CO	7
OnP31 NGAS638 CO	9
ATCC23726 SG_NCTC3000 CF	3
SG_NCTC3000 ATCC23726 CF	3
HC SMVAGTER CF	3
SMVAGTER HC CF	3
DSM574 OK5 CO	5
OK5 DSM574 CO	0
DSM574 NBRC3202 CF	5
NBRC3202 DSM574 CF	0
DSM574 DSMA194 CO	8
DSMA194 DSM574 CO	6
DSM574 M38 CF	5
M38 DSM574 CF	0
DSM574 plant_ATCC CF	5
plant_ATCC DSM574 CF	0
DSM574 NCTC11831 CO	5
NCTC11831 DSM574 CO	0
DSM574 L1-82 CO	5
L1-82 DSM574 CO	0
DSM574 lac_ATCC CF	5
lac_ATCC DSM574 CF	0
DSM574 G2 CF	5
G2 DSM574 CF	0
DSM574 LV515 CF	5
LV515 DSM574 CF	0
DSM574 JCM30893 CF	5
JCM30893 DSM574 CF	0
DSM20745 LMG16247 CF	9
LMG16247 DSM20745 CF	9
DSM20745 plant_ATCC CF	1
plant_ATCC DSM20745 CF	7
DSM20745 G2 CF	1
G2 DSM20745 CF	7
DSM20745 lac_ATCC CF	1
lac_ATCC DSM20745 CF	7
DSM20745 NBRC3202 CF	1
NBRC3202 DSM20745 CF	7
DSM20745 SM52 CF	9
SM52 DSM20745 CF	9
DSM20745 M38 CF	1
M38 DSM20745 CF	7
bem DSMA194 CO	8
DSMA194 bem CO	6
bem Nb255 CF	0
Nb255 bem CF	5
bem MTH-04 CF	3
MTH-04 bem CF	3
bem X14 CF	0
X14 bem CF	5
bem Nc4 CF	0
Nc4 bem CF	5
bem C91 CF	7
C91 bem CF	1
bem DSM10331 CF	3
DSM10331 bem CF	1
bem HL096PA1 CF	7
HL096PA1 bem CF	1
bem J10fl CF	7
J10fl bem CF	1
bem PFRJS14 CF	3
PFRJS14 bem CF	3
bem L1-82 CO	3
L1-82 bem CO	3
F0399 MCC318 CO	8
MCC318 F0399 CO	6
F0399 L1-82 CO	3
L1-82 F0399 CO	3
F0399 plant_ATCC CF	1
plant_ATCC F0399 CF	7
F0399 NCTC11831 CO	3
NCTC11831 F0399 CO	3
F0399 G2 CF	1
G2 F0399 CF	7
F0399 lac_ATCC CF	1
lac_ATCC F0399 CF	7
F0399 NBRC3202 CF	1
NBRC3202 F0399 CF	7
F0399 OK5 CO	3
OK5 F0399 CO	3
F0399 UPMC901 CF	3
UPMC901 F0399 CF	3
F0399 M38 CF	1
M38 F0399 CF	7
221 Sp7 CF	9
Sp7 221 CF	9
ATCC35037 PAO1 CF	2
PAO1 ATCC35037 CF	4
Ak1 DSM2638 CF	0
DSM2638 Ak1 CF	5
Ak1 R1dM1 CF	0
R1dM1 Ak1 CF	5
Ak1 Aspo-2 CF	0
Aspo-2 Ak1 CF	5
Ak1 MPOB CF	0
MPOB Ak1 CF	5
Ak1 DSM574 CF	0
DSM574 Ak1 CF	5
Ak1 JJ CF	0
JJ Ak1 CF	5
Ak1 HRM2 CF	0
HRM2 Ak1 CF	5
Ak1 DSM2032 CF	0
DSM2032 Ak1 CF	5
Ak1 DSM16219 CF	0
DSM16219 Ak1 CF	5
Ak1 Hxd3 CF	0
Hxd3 Ak1 CF	5
Ak1 DSM4028 CF	0
DSM4028 Ak1 CF	5
Ak1 RS-1 CF	0
RS-1 Ak1 CF	5
Ak1 ASO3-1 CF	0
ASO3-1 Ak1 CF	5
Ak1 DSM5692 CF	0
DSM5692 Ak1 CF	5
AF28-15 ATCC25975 CF	6
ATCC25975 AF28-15 CF	8
AF28-15 CICC22518 CO	6
CICC22518 AF28-15 CO	8
AF28-15 bifi_JCM CF	6
bifi_JCM AF28-15 CF	8
AF28-15 SRW-OG1 CO	6
SRW-OG1 AF28-15 CO	8
AF28-15 LMG1861 CO	6
LMG1861 AF28-15 CO	8
AF28-15 GAD3 CO	6
GAD3 AF28-15 CO	8
AF28-15 SZ CO	6
SZ AF28-15 CO	8
AF28-15 MCC318 CF	6
MCC318 AF28-15 CF	8
AF28-15 D3 CF	6
D3 AF28-15 CF	8
AF28-15 DSM684 CO	6
DSM684 AF28-15 CO	8
AF28-15 OnP31 CO	6
OnP31 AF28-15 CO	8
AF28-15 ORS2060 CO	6
ORS2060 AF28-15 CO	8
AF28-15 JF-1 CO	6
JF-1 AF28-15 CO	8
AF28-15 F0399 CO	6
F0399 AF28-15 CO	8
AF28-15 bem CO	6
bem AF28-15 CO	8
AF28-15 DSM574 CO	6
DSM574 AF28-15 CO	8
AF28-15 ATCC43049 CO	6
ATCC43049 AF28-15 CO	8
AF28-15 BA111 CF	6
BA111 AF28-15 CF	8
AF28-15 GS-15 CO	6
GS-15 AF28-15 CO	8
AF28-15 DS2 CO	6
DS2 AF28-15 CO	8
AF28-15 PAO1 CO	6
PAO1 AF28-15 CO	8
AF28-15 I1 CF	6
I1 AF28-15 CF	8
AF28-15 E1-9c CO	6
E1-9c AF28-15 CO	8
AF28-15 DSM15272 CO	6
DSM15272 AF28-15 CO	8
AF28-15 ATCC15700 CF	6
ATCC15700 AF28-15 CF	8
AF28-15 R2 CF	6
